Loan_ID,Port_ID,OriginalLoanAmount,OutstandingAmount,CollateralValue,CreditRating
73,8,80000,71418,84800,AAA
74,6,80000,60724,87200,B
75,3,60000,55073,64800,AA
76,3,20000,12414,19800,BBB
77,2,100000,85191,110000,AAA
78,3,20000,12834,19800,AA
79,1,60000,58841,61800,BBB
80,4,60000,48814,64800,BBB
81,1,80000,71703,83200,A
82,2,40000,31360,40400,B
83,2,100000,96697,105000,BBB
84,6,80000,73114,85600,AAA
85,7,60000,56010,63600,CCC
86,8,60000,43212,60000,B
87,4,40000,30214,43200,BBB
88,8,20000,14334,19800,BB
89,5,100000,92318,105000,BB
90,6,60000,54015,61200,BB
91,4,80000,62645,88000,A
92,4,80000,70808,80800,CCC
93,1,80000,77151,86400,BBB
94,3,100000,85451,103000,BBB
95,4,40000,21285,40000,CCC
96,1,60000,47455,64800,AAA
97,7,80000,66288,86400,B
98,5,40000,36688,42800,A
99,1,60000,56738,63600,B
100,4,20000,11909,20400,AAA
101,8,100000,99832,99000,B
102,5,80000,65893,85600,AA
103,1,100000,88012,110000,BB
104,8,20000,18219,21400,AA
105,6,20000,15619,20200,AAA
106,4,80000,69081,83200,B
107,3,100000,91237,109000,BB
108,5,100000,86642,103000,B
109,8,40000,30404,42800,AAA
110,3,40000,29256,40800,BBB
111,1,80000,64828,85600,CCC
112,1,60000,45485,60600,A
113,6,60000,47303,63600,BB
114,4,60000,45743,61800,BB
115,3,100000,93783,103000,B
116,2,80000,73973,80000,B
117,6,80000,60461,84000,BB
118,8,100000,80796,104000,AA
119,7,100000,83272,105000,AA
120,8,100000,85229,105000,AA
121,3,40000,24193,41600,AA
122,6,100000,94580,106000,B
123,5,100000,90048,100000,BBB
124,7,100000,91211,107000,BB
125,4,20000,10880,19800,BBB
126,8,40000,27035,42000,AAA
127,4,60000,57916,64800,AAA
128,2,100000,83420,103000,CCC
129,8,100000,90999,107000,A
130,8,80000,73953,84800,AAA
131,2,80000,72501,81600,BBB
132,1,40000,23577,44000,CCC
133,8,100000,85386,101000,B
134,1,80000,74898,82400,AA
135,5,100000,99476,109000,BB
136,1,60000,49034,62400,B
137,2,40000,37597,42800,B
138,5,100000,83308,103000,B
139,7,60000,41362,65400,CCC
140,3,100000,80937,109000,BBB
141,4,80000,79893,82400,AAA
142,7,60000,53517,61800,CCC
143,6,40000,36900,40400,AA
144,1,100000,97663,106000,AA
145,2,20000,10213,19800,CCC
146,3,40000,28377,42800,A
147,7,60000,50910,63000,CCC
148,5,100000,92375,102000,A
149,3,20000,15186,21800,A
150,8,100000,90024,110000,BB
151,2,100000,81913,105000,AAA
152,2,40000,20995,40000,BBB
153,8,80000,61514,87200,A
154,4,80000,75955,79200,BBB
155,6,40000,27345,42400,B
156,5,60000,47969,59400,A
157,1,80000,76374,79200,B
158,5,40000,27750,42000,AA
159,6,80000,67730,87200,BB
160,3,100000,93327,99000,CCC
161,5,100000,85270,104000,B
162,1,80000,70246,88000,A
163,6,40000,38355,40000,A
164,8,100000,86398,105000,A
165,4,80000,76308,85600,CCC
166,6,60000,46587,62400,AA
167,1,20000,11570,19800,CCC
168,1,100000,88308,101000,BBB
169,5,80000,63150,87200,CCC
170,7,80000,71866,85600,CCC
171,4,80000,73130,83200,AA
172,2,100000,97825,101000,AA
173,7,100000,87494,109000,A
174,6,100000,97119,109000,CCC
175,2,20000,18538,20400,AAA
176,1,100000,90908,101000,BBB
177,8,80000,61359,80800,BB
178,3,40000,35276,40000,CCC
179,5,80000,75216,84000,BB
180,1,60000,50662,63000,CCC
181,4,80000,67478,88000,CCC
182,5,40000,39363,41200,B
183,7,100000,88955,107000,B
184,7,40000,39575,40000,BB
185,6,40000,30172,40000,AAA
186,7,80000,77900,83200,A
187,1,60000,50035,60600,B
188,4,40000,36582,42400,AA
189,6,40000,22995,43600,AA
190,3,80000,63049,80800,AAA
191,2,40000,38765,40000,BB
192,1,40000,27799,40000,CCC
193,8,100000,85535,108000,AAA
194,8,60000,41882,62400,B
195,8,20000,13177,21600,B
196,1,80000,75550,82400,BB
197,6,100000,89153,107000,AAA
198,2,20000,12374,21400,A
199,2,100000,85792,106000,BBB
200,2,80000,66684,83200,CCC
201,7,60000,48877,63000,CCC
202,7,60000,44738,59400,A
203,2,60000,50129,61800,BBB
204,6,60000,59122,60000,A
205,5,60000,51951,61200,AA
206,5,80000,73803,88000,BB
207,1,80000,69933,84000,AA
208,7,60000,41558,63600,BB
209,6,20000,19775,21000,BB
210,1,80000,72536,86400,A
211,8,100000,85117,107000,BBB
212,4,100000,90313,109000,CCC
213,2,100000,82780,106000,A
214,8,40000,30158,40400,CCC
215,2,80000,62078,84800,A
216,3,80000,64342,86400,A
217,8,80000,79656,85600,BBB
218,8,40000,22939,42800,BBB
219,7,20000,15385,19800,AA
220,3,80000,66271,88000,AAA
221,7,60000,55676,60600,BBB
222,7,40000,26784,42800,BB
223,6,80000,79504,86400,AAA
224,8,40000,25092,43200,B
225,6,40000,28514,40800,CCC
226,7,20000,11272,20800,B
227,1,40000,23653,40800,A
228,7,80000,75723,83200,CCC
229,1,100000,81016,107000,BB
230,4,20000,19268,21800,AA
231,6,100000,84414,109000,B
232,2,80000,62718,87200,B
233,5,60000,41974,65400,BBB
234,5,40000,37668,41600,BBB
235,3,60000,41347,62400,AA
236,2,40000,23072,43600,AA
237,8,40000,29603,41600,A
238,3,40000,21187,43200,BB
239,3,80000,79069,83200,CCC
240,7,100000,90514,107000,BBB
241,2,60000,50008,62400,AAA
242,5,60000,42519,64200,AAA
243,7,80000,70478,79200,AAA
244,3,60000,54996,61800,A
245,5,100000,95601,100000,AA
246,5,60000,54286,66000,BBB
247,8,20000,17461,20200,AA
248,4,20000,18114,20200,B
249,5,100000,87722,107000,AA
250,5,100000,85240,106000,B
251,1,60000,45660,60600,AA
252,6,60000,46693,65400,B
253,3,100000,81935,107000,B
254,8,40000,25269,42400,A
255,2,40000,28334,40000,AA
256,3,40000,39999,41600,B
257,4,40000,29510,41600,AA
258,5,100000,82549,101000,AAA
259,7,80000,71665,81600,CCC
260,1,80000,66575,83200,CCC
261,3,40000,39945,40800,CCC
262,4,40000,32759,42800,A
263,4,40000,39979,40400,BB
264,6,60000,42331,61200,BB
265,2,20000,10075,20200,BB
266,5,40000,28708,40400,CCC
267,5,100000,94641,107000,BB
268,8,100000,93440,106000,BB
269,2,60000,47056,66000,BB
270,6,60000,57123,61800,B
271,4,100000,82661,109000,A
272,7,60000,53625,59400,B
273,6,100000,93323,109000,CCC
274,1,100000,95097,99000,AAA
275,4,60000,59365,61800,AA
276,3,80000,60961,80800,AA
277,7,80000,60132,87200,A
278,6,40000,27245,42000,BBB
279,3,60000,42849,66000,A
280,4,80000,73349,81600,CCC
281,6,60000,57830,60000,AA
282,8,80000,76788,88000,AA
283,4,20000,12033,20200,BBB
284,6,60000,41070,60600,BBB
285,4,60000,48152,65400,BB
286,8,40000,37227,44000,AA
287,5,80000,65686,82400,B
288,5,40000,24858,40800,AA
289,5,60000,48278,63000,A
290,3,100000,99430,107000,AAA
291,3,80000,74237,86400,AAA
292,6,100000,93302,105000,A
293,3,40000,20745,42400,B
294,5,100000,85519,107000,BBB
295,3,80000,67022,84000,CCC
296,2,60000,49091,60600,BB
297,7,20000,11561,20200,BB
298,1,80000,64423,82400,CCC
299,8,100000,94233,106000,AA
300,2,60000,47249,60000,A
301,1,40000,21523,42800,BBB
302,4,40000,26189,42000,BBB
303,4,80000,64595,84000,CCC
304,7,60000,55288,61800,A
305,6,80000,67418,85600,B
306,6,100000,97498,106000,BBB
307,1,60000,58603,63600,BBB
308,1,60000,50531,63000,AAA
309,8,40000,26388,39600,AAA
310,2,100000,88288,108000,A
311,5,100000,89091,101000,BB
312,7,100000,83821,107000,BB
313,5,100000,99521,108000,CCC
314,5,40000,36803,41600,AA
315,3,60000,51300,60600,AA
316,2,100000,84240,100000,A
317,1,100000,96285,109000,BB
318,8,40000,23250,42800,B
319,8,80000,75991,83200,B
320,7,40000,36748,42800,BB
321,3,40000,23614,43600,BB
322,7,100000,88034,102000,AA
323,2,80000,76878,85600,B
324,3,40000,23305,43200,B
325,4,60000,47840,63000,A
326,4,40000,37802,44000,B
327,3,100000,95044,109000,BB
328,5,20000,12447,21200,A
329,5,80000,65004,84800,B
330,3,20000,10276,21400,CCC
331,4,60000,52516,60000,A
332,1,80000,76913,80800,BB
333,6,40000,31070,43200,BBB
334,8,20000,12426,21400,A
335,7,100000,90056,100000,BBB
336,2,100000,97735,107000,A
337,7,60000,42525,60000,CCC
338,8,20000,13372,20600,AAA
339,2,100000,85470,108000,A
340,4,40000,20754,43600,A
341,2,100000,95600,100000,BB
342,1,60000,47019,64200,CCC
343,4,40000,23303,39600,BBB
344,1,80000,75169,79200,AAA
345,4,100000,84196,101000,AAA
346,7,80000,78093,84000,BB
347,1,100000,94845,101000,B
348,2,60000,42182,59400,B
349,3,20000,15313,21000,AA
350,1,60000,43711,63600,B
351,5,100000,87702,108000,CCC
352,4,80000,61592,86400,BBB
353,7,60000,51439,63600,AAA
354,8,60000,53144,61800,BB
355,8,40000,32494,43200,CCC
356,7,100000,81863,102000,B
357,8,80000,65063,83200,A
358,3,60000,45719,61800,A
359,2,20000,12467,20200,AA
360,1,60000,55536,63000,BB
361,1,60000,53502,62400,AA
362,2,80000,78629,86400,BBB
363,4,80000,71669,81600,A
364,1,60000,51178,61200,AA
365,1,80000,75354,84800,CCC
366,6,80000,70622,80800,AA
367,2,20000,16234,21200,CCC
368,5,20000,11290,20400,AAA
369,5,60000,43716,60000,AAA
370,7,80000,76713,80000,AAA
371,1,100000,91916,106000,CCC
372,8,80000,67576,83200,AA
373,4,80000,60265,80800,AA
374,7,20000,16092,20000,A
375,4,80000,72223,79200,CCC
376,7,40000,26006,42800,BBB
377,4,100000,97906,106000,B
378,4,60000,59584,59400,BBB
379,8,80000,72035,79200,CCC
380,2,100000,90648,103000,A
381,1,80000,75434,85600,A
382,1,40000,31715,40000,BB
383,3,80000,65870,84800,BBB
384,2,60000,44274,64800,A
385,8,40000,39475,44000,BB
386,4,80000,68933,88000,CCC
387,4,40000,38469,40000,B
388,7,100000,84871,108000,A
389,5,80000,78631,84800,A
390,1,20000,19118,21400,A
391,5,100000,84841,105000,B
392,5,60000,54429,61200,BB
393,5,100000,91373,99000,AA
394,8,40000,31431,42000,AA
395,5,40000,25033,41200,AAA
396,8,80000,65917,86400,BB
397,6,100000,84037,104000,A
398,3,20000,17779,21400,A
399,7,80000,64692,84800,BB
400,2,60000,44310,60600,BB
401,4,60000,51696,62400,A
402,3,80000,67551,82400,A
403,6,60000,52012,60600,BBB
404,3,100000,96179,103000,BBB
405,3,80000,73025,80000,CCC
406,5,60000,57895,59400,B
407,1,100000,95464,102000,BB
408,4,60000,47577,61200,AA
409,7,80000,78598,81600,AAA
410,8,40000,29328,42000,BB
411,4,60000,51425,66000,A
412,5,60000,48949,61800,AAA
413,5,80000,60877,80000,AAA
414,1,40000,28986,39600,AAA
415,5,20000,16188,20800,B
416,1,60000,40925,60600,CCC
417,3,80000,76098,87200,CCC
418,2,100000,97602,106000,AAA
419,2,60000,40382,61800,BB
420,4,80000,75781,88000,BB
421,5,40000,20036,39600,BB
422,1,60000,58959,60600,A
423,1,20000,17753,20800,AAA
424,6,100000,88255,104000,CCC
425,7,40000,36049,43200,A
426,6,80000,67494,84800,B
427,5,80000,63311,86400,AAA
428,6,20000,17494,21400,BBB
429,6,40000,39826,43600,BB
430,2,40000,23380,41600,B
431,6,80000,64074,88000,AAA
432,2,80000,62044,86400,B
433,2,20000,15186,21800,AA
434,5,100000,81748,100000,AAA
435,6,60000,43265,64200,AAA
436,6,100000,90194,110000,AA
437,3,40000,33207,41600,AAA
438,7,100000,98123,103000,AA
439,8,60000,41552,63000,A
440,8,20000,12662,21800,AAA
441,6,100000,87890,103000,B
442,2,80000,64948,86400,BBB
443,4,20000,16175,21600,BB
444,7,100000,87890,101000,B
445,4,60000,47328,63000,AA
446,3,100000,91593,103000,AAA
447,8,40000,34662,40800,AA
448,8,80000,65415,81600,AAA
449,5,40000,29070,40800,BB
450,3,20000,19736,20800,CCC
451,1,100000,91888,104000,BBB
452,3,80000,69909,84000,AA
453,1,80000,65589,81600,B
454,1,60000,58003,63600,AAA
455,2,80000,62796,82400,BB
456,3,100000,90157,109000,B
457,8,20000,11169,22000,BBB
458,3,40000,25541,44000,CCC
459,4,80000,64150,82400,BBB
460,2,100000,82188,108000,AAA
461,1,20000,18348,22000,CCC
462,1,80000,62666,84800,CCC
463,5,60000,52095,63600,BBB
464,6,40000,34059,41200,AAA
465,2,60000,49510,64200,BBB
466,4,80000,63917,82400,AA
467,1,40000,28684,41200,B
468,7,40000,21167,40800,B
469,3,80000,75441,85600,AA
470,4,100000,88232,107000,BBB
471,6,80000,71025,84800,AAA
472,4,20000,15733,20200,AA
473,2,80000,71022,84000,A
474,3,60000,55206,59400,AAA
475,6,60000,41431,60000,BB
476,3,80000,76318,81600,BBB
477,5,40000,39759,43600,BBB
478,5,100000,84470,99000,AA
479,1,40000,31788,41200,CCC
480,1,40000,39465,42800,BBB
481,5,100000,95274,104000,BBB
482,8,60000,48000,59400,B
483,7,20000,15322,20200,A
484,3,20000,11299,19800,BB
485,6,100000,94680,101000,A
486,6,100000,99704,110000,AA
487,7,80000,70328,83200,B
488,5,40000,39934,40400,BBB
489,2,80000,69002,84800,B
490,6,60000,42589,60000,A
491,1,20000,16143,19800,BB
492,7,60000,59535,63600,BBB
493,8,100000,83187,110000,AAA
494,2,80000,62496,80800,AAA
495,5,80000,76442,85600,A
496,1,60000,53832,60600,B
497,6,60000,47471,64800,BB
498,3,60000,54261,66000,AA
499,3,80000,77380,83200,B
500,2,40000,20974,43200,BBB
501,8,100000,89581,101000,CCC
502,5,80000,77042,84800,B
503,5,80000,79203,80800,AA
504,1,80000,72599,85600,AAA
505,5,60000,55545,64800,AAA
506,2,40000,29276,41200,AA
507,1,60000,45408,59400,A
508,2,60000,41506,61200,BBB
509,6,100000,95137,103000,B
510,5,40000,23802,41600,BBB
511,7,100000,89801,109000,A
512,2,40000,38009,40400,AAA
513,3,100000,87553,103000,AA
514,8,100000,94010,110000,A
515,3,20000,16299,21000,BB
516,4,40000,28538,40400,AA
517,4,80000,72496,84800,A
518,5,100000,82748,109000,AA
519,7,80000,75927,88000,AAA
520,6,40000,20717,42000,AAA
521,5,20000,18640,21800,AAA
522,4,100000,94999,104000,AAA
523,6,60000,44553,63000,AA
524,3,100000,94185,103000,A
525,2,20000,13574,21200,BB
526,7,100000,89739,107000,A
527,1,40000,28147,40400,BB
528,8,80000,73386,80800,CCC
529,5,80000,65367,87200,AA
530,5,80000,70163,88000,B
531,4,40000,26445,43600,AAA
532,8,40000,20319,43200,BB
533,1,40000,29229,43600,B
534,8,100000,80089,106000,AAA
535,2,80000,73513,79200,CCC
536,3,100000,94312,107000,CCC
537,2,100000,89281,101000,BB
538,8,80000,76377,80000,BB
539,3,80000,64544,86400,CCC
540,1,20000,19148,21000,AA
541,2,80000,70601,80000,BB
542,5,40000,39967,43600,BB
543,7,60000,46749,62400,BBB
544,2,100000,92663,100000,BBB
545,4,80000,61703,84000,B
546,7,20000,18062,21800,B
547,3,60000,59505,65400,CCC
548,3,80000,61798,79200,A
549,5,40000,22378,40400,BB
550,3,100000,96157,103000,AAA
551,2,100000,81597,109000,BB
552,7,20000,15058,20800,A
553,7,60000,57629,63000,BB
554,4,100000,98424,100000,A
555,5,100000,97950,107000,AAA
556,8,40000,29614,40800,B
557,3,60000,42115,60000,A
558,7,80000,64881,84000,BB
559,8,20000,16204,20800,A
560,1,100000,95103,108000,BBB
561,3,40000,38862,43600,AA
562,6,80000,68051,80000,CCC
563,5,20000,10880,22000,BBB
564,8,80000,72630,80000,BB
565,7,100000,95381,110000,AA
566,3,60000,58862,63600,BB
567,6,40000,24825,43600,BB
568,4,100000,98848,105000,AA
569,1,60000,42350,59400,B
570,1,100000,97585,107000,BBB
571,5,80000,63888,86400,B
572,3,80000,74701,80800,BBB
573,6,60000,50244,60600,B
574,2,100000,81051,106000,B
575,3,80000,67895,81600,AAA
576,5,40000,39935,39600,AA
577,2,80000,77844,81600,A
578,5,100000,86438,105000,BB
579,8,100000,80494,100000,BBB
580,1,80000,77085,84800,A
581,4,60000,53198,62400,A
582,6,40000,28184,44000,CCC
583,8,60000,57121,64200,BB
584,6,20000,10219,21800,A
585,6,100000,87902,107000,BBB
586,5,40000,35093,41200,BBB
587,8,60000,48935,60000,AA
588,3,80000,79452,81600,CCC
589,5,60000,52469,59400,B
590,7,20000,13227,21600,AA
591,8,40000,36120,40000,BBB
592,2,60000,49229,66000,BBB
593,4,20000,13946,21000,BB
594,8,60000,57166,60000,AA
595,3,20000,17454,20000,B
596,5,80000,68482,87200,B
597,3,80000,63984,87200,CCC
598,3,80000,61064,81600,BB
599,2,80000,72611,88000,B
600,3,20000,10946,20000,AA
601,8,40000,29375,44000,AA
602,3,80000,73012,86400,BBB
603,7,80000,64114,83200,BB
604,5,100000,82082,109000,AA
605,6,100000,86702,100000,BB
606,5,100000,96655,104000,BB
607,3,100000,99701,101000,CCC
608,3,20000,11119,20600,BB
609,2,100000,94651,102000,AAA
610,7,80000,74799,84800,CCC
611,3,40000,25410,40800,CCC
612,4,80000,77208,84000,A
613,3,40000,36696,42000,AAA
614,4,40000,37798,42400,AA
615,5,80000,77268,87200,CCC
616,1,20000,11078,21600,AAA
617,8,80000,69443,84000,AAA
618,6,40000,31403,42800,CCC
619,8,40000,28248,43200,AA
620,5,100000,87218,103000,BB
621,7,100000,84947,109000,AA
622,4,40000,32899,41600,AAA
623,7,40000,22696,40000,BBB
624,3,80000,63003,84800,BBB
625,4,100000,97156,101000,AAA
626,4,60000,56377,59400,CCC
627,4,40000,23731,40800,BBB
628,1,60000,43279,61800,AAA
629,3,100000,92931,101000,A
630,3,40000,29034,42400,BBB
631,6,80000,74759,82400,BB
632,2,20000,19088,21000,BB
633,7,100000,88895,101000,AA
634,2,60000,45694,61200,A
635,7,80000,72656,79200,BB
636,5,80000,74249,82400,A
637,8,100000,83830,101000,A
638,3,80000,69785,85600,AA
639,5,40000,30828,40400,BBB
640,3,80000,65581,87200,AAA
641,1,40000,25550,40000,AAA
642,8,60000,59481,60600,AAA
643,7,100000,88805,103000,B
644,4,40000,33026,41200,BB
645,5,80000,76712,85600,BB
646,5,40000,27383,42400,A
647,1,60000,41335,64200,CCC
648,1,60000,58199,60000,AAA
649,1,100000,97949,106000,A
650,7,100000,84727,102000,CCC
651,6,100000,80840,108000,CCC
652,2,80000,60242,80000,BB
653,1,40000,30659,40800,BB
654,3,60000,53690,66000,AAA
655,3,80000,65202,79200,BBB
656,5,60000,52185,66000,BB
657,1,100000,99821,99000,A
658,7,40000,39963,41600,AAA
659,8,20000,15022,22000,BB
660,6,80000,72581,86400,B
661,4,80000,74083,88000,BBB
662,4,20000,10001,20200,BB
663,6,40000,21168,44000,B
664,7,60000,47762,62400,AAA
665,7,80000,77630,84800,A
666,1,60000,47034,60000,B
667,6,80000,67668,79200,AAA
668,2,80000,64046,83200,AAA
669,1,80000,68722,81600,CCC
670,2,100000,94168,99000,CCC
671,8,100000,84454,99000,AA
672,7,20000,13636,21800,A
673,8,60000,43590,61200,CCC
674,3,60000,42080,62400,CCC
675,4,80000,68098,84800,AAA
676,2,80000,71612,88000,AA
677,8,80000,62864,83200,BBB
678,6,60000,44507,65400,A
679,1,80000,77415,81600,AAA
680,7,80000,66439,82400,BB
681,2,60000,46284,60600,A
682,2,80000,68700,86400,B
683,4,100000,94508,99000,BBB
684,1,80000,61071,80800,CCC
685,8,100000,86610,109000,BB
686,5,80000,63057,86400,AA
687,2,60000,59317,65400,BBB
688,1,20000,10302,22000,BB
689,1,40000,25706,39600,AA
690,8,80000,64209,80000,AAA
691,3,80000,79977,85600,AA
692,6,60000,53396,65400,AA
693,8,60000,54207,60000,AAA
694,3,80000,68209,85600,B
695,2,20000,11999,21400,AA
696,3,40000,34145,42000,BB
697,2,100000,85405,102000,BB
698,3,20000,10108,20400,B
699,7,80000,78049,81600,AAA
700,3,80000,75571,81600,BBB
701,8,100000,85205,110000,AAA
702,4,60000,48906,66000,AA
703,7,40000,31495,43600,A
704,4,60000,47650,61800,BB
705,7,40000,32224,40800,AA
706,7,60000,57287,63600,AA
707,5,60000,47164,63600,BBB
708,3,100000,98620,100000,B
709,7,40000,21069,42400,BB
710,3,40000,34173,41200,CCC
711,3,100000,82459,108000,B
712,4,40000,23739,42000,BBB
713,4,60000,52280,65400,BBB
714,7,80000,75289,84800,BBB
715,5,100000,80266,101000,AA
716,6,40000,20763,40000,B
717,6,20000,17752,21800,B
718,7,40000,30816,42800,B
719,2,80000,66675,84800,AA
720,1,20000,16376,20000,BBB
721,5,80000,63930,81600,A
722,3,20000,19640,22000,AAA
723,4,100000,87407,104000,AAA
724,4,80000,78702,84000,AA
725,7,100000,87254,105000,AAA
726,8,40000,35747,41600,BBB
727,7,100000,86914,102000,AAA
728,1,100000,95155,108000,AA
729,4,40000,36703,42000,BB
730,6,100000,86123,102000,BBB
731,5,80000,69999,80000,BBB
732,2,60000,51406,61800,AAA
733,6,40000,20951,42000,AA
734,2,20000,16603,20400,B
735,6,80000,63864,87200,B
736,3,60000,46485,61200,B
737,6,40000,28582,42000,A
738,3,60000,48097,64800,AAA
739,8,100000,91678,100000,BBB
740,7,80000,75416,83200,BB
741,6,100000,87189,105000,AA
742,2,20000,11879,21000,CCC
743,3,20000,10442,21000,AA
744,5,60000,49118,64200,AA
745,4,100000,82713,99000,AAA
746,3,100000,90188,104000,A
747,3,40000,34761,40800,B
748,6,40000,33153,40800,AAA
749,4,60000,50059,60600,A
750,2,80000,63858,83200,BB
751,5,100000,93810,106000,CCC
752,1,80000,60551,80000,BB
753,5,20000,18384,21200,A
754,1,60000,46189,59400,AAA
755,4,60000,47546,64200,CCC
756,7,60000,54805,63000,AA
757,6,80000,67918,87200,BB
758,7,100000,99483,106000,A
759,6,60000,43833,61800,A
760,3,80000,77432,80000,AA
761,6,20000,17131,21000,B
762,3,60000,54869,64800,BB
763,2,60000,50192,61800,A
764,4,80000,70693,84000,B
765,3,20000,16837,21400,B
766,6,60000,42487,63000,A
767,2,100000,96724,109000,A
768,1,20000,11284,19800,CCC
769,6,40000,36645,42000,BB
770,7,80000,67548,80000,BB
771,1,60000,41385,66000,BBB
772,1,40000,36368,41600,CCC
773,8,40000,23752,40000,BB
774,6,80000,77562,79200,BBB
775,7,20000,15598,20800,B
776,8,40000,25907,44000,BB
777,4,40000,37616,42400,A
778,2,20000,12794,21800,AA
779,7,100000,84334,107000,B
780,3,20000,14443,21600,BB
781,1,20000,14151,21800,AAA
782,6,80000,69861,83200,B
783,1,100000,96747,108000,AA
784,2,100000,80438,105000,AA
785,3,80000,62016,85600,BBB
786,7,80000,61807,82400,BBB
787,1,80000,65063,86400,AAA
788,6,100000,86782,102000,AA
789,8,20000,14201,20600,BBB
790,1,80000,69149,80800,BB
791,1,80000,66379,80800,BB
792,1,80000,61569,80800,AAA
793,8,40000,32399,42400,AAA
794,1,80000,76032,86400,A
795,5,60000,41268,66000,BB
796,2,60000,41767,64200,BB
797,7,100000,89392,103000,BB
798,5,80000,74004,84800,B
799,2,80000,61168,79200,AAA
800,2,60000,45581,61800,BB
801,4,40000,32351,40400,CCC
802,7,40000,26135,40400,BB
803,5,20000,14134,20200,BB
804,6,100000,98537,102000,CCC
805,8,60000,46459,60000,AAA
806,7,60000,43712,61800,AAA
807,4,60000,55226,61800,CCC
808,7,20000,16667,19800,AA
809,4,60000,42738,62400,AAA
810,5,80000,66051,85600,AAA
811,7,80000,63101,87200,B
812,4,20000,16850,20400,CCC
813,6,80000,65146,80800,CCC
814,3,40000,28966,40400,A
815,2,100000,90690,100000,CCC
816,2,60000,49140,59400,BB
817,5,80000,60609,80000,BBB
818,8,40000,33871,43200,BB
819,7,100000,80815,102000,BB
820,2,80000,66176,80800,AAA
821,1,60000,47307,60000,AAA
822,5,20000,13742,20200,AAA
823,4,40000,23591,40000,AA
824,2,40000,34904,39600,CCC
825,5,40000,31821,44000,B
826,6,80000,72695,88000,CCC
827,3,100000,86640,109000,BBB
828,4,100000,91771,107000,BBB
829,7,60000,53445,64200,BB
830,1,60000,55746,61800,BB
831,2,40000,31902,42000,AA
832,3,100000,89125,108000,AAA
833,7,20000,19162,20800,AA
834,1,40000,34960,40000,A
835,5,60000,44659,62400,B
836,3,40000,20265,40800,BB
837,5,80000,65122,85600,BB
838,7,40000,39864,40800,BBB
839,7,40000,30027,44000,BB
840,1,40000,24840,40800,A
841,3,60000,40163,63000,BBB
842,5,40000,30556,41200,AAA
843,8,60000,57491,60000,CCC
844,5,60000,55102,64800,AA
845,4,80000,61381,84800,AAA
846,3,80000,72120,79200,BB
847,6,100000,97359,104000,AAA
848,6,40000,36042,40800,CCC
849,7,60000,51573,64200,AA
850,1,100000,85340,103000,BBB
851,2,80000,61236,83200,BBB
852,7,40000,38756,42400,BB
853,7,100000,90031,102000,AA
854,1,40000,30817,43200,BBB
855,8,100000,81206,103000,A
856,8,60000,42372,61800,AA
857,3,80000,75987,82400,BB
858,5,40000,35560,42000,AA
859,8,80000,68056,84000,B
860,4,100000,94802,106000,BB
861,5,20000,19309,19800,AAA
862,7,100000,82720,100000,BBB
